x y
481.5097581610821 1418.647399247936
1107.040427171168 92.44233800769094
195.00971695732818 1505.9284197569061
501.63477693349046 1401.7222414789178
1395.722577516677 808.5897014775672
1291.5368894573583 201.02372010037456
1296.1034214897797 205.9877975716268
199.6505300647597 1493.3412158615733
88.76854319495291 499.57530019320467
93.69709485433694 504.50882035650324
214.16191142664462 1500.4527847583365
200.34547487220988 1487.152816297631
190.76548035330225 1495.1403361301545
1406.8243037477807 792.6805981681118
907.909121208013 1192.4392277112997
878.2787114555881 1217.1049641070335
1012.5061160789465 1304.51097432349
516.9331021292716 1415.5571110373962
203.08781936243844 1505.9820001995583
1410.4171132500255 787.1811688081646
900.1250931218156 1184.4450653073343
1408.422515337756 783.2310642835895
1397.8748707895072 794.1873802133833
1407.8343236944763 800.7989198445594
516.8755115973157 1412.2732513595722
999.0391124613918 1311.685963736615
104.1476867357006 515.8020377807219
1395.3323590444643 792.1271132103429
499.1457238444721 1400.3503953897634
1014.8744797849001 1297.426890185916
1493.5824089955577 1006.4639789338798
907.9872911083062 1200.3392428038483
1496.3227489092224 983.909607187746
90.28433169795699 503.45757727430515
1393.6391810971024 797.5350220701758
998.1429610642899 1292.2658438434635
496.55275108525007 1409.656903033958
1491.113857011097 1010.4086233209046
1301.640467970067 213.06260096203857
1493.770731187161 1001.5919894707642
1099.6200004653906 74.86565467004638
1103.5569673563393 98.76124593639547
488.4678338391073 1399.7604693430094
996.7068507085867 1301.4870972807205
490.13189154442273 1400.750347240957
496.7099533352225 1404.6741648847776
1002.3083634852968 1310.1827017501962
99.20336809845435 478.51194350780105
1498.932171447091 988.7737298692988
1487.7816555894262 988.9934742416796
1092.8084828999588 102.67086015388209
1301.2080586242441 197.88110223608965
1499.9551747834596 992.5158428123347
111.42928871867132 505.3658533754634
1390.2936521448355 815.6202345046004
1292.836111623495 186.72574452477522
897.8078440106852 1195.921096378956
896.2420859098705 1203.9618921612257
115.03811769658492 507.83124368204227
107.77222919715416 491.33680036236086
895.5017533778374 1204.7134076605184
1113.6910032597164 114.34942171934196
995.8512768909565 1289.3217438548697
1292.2883597248065 192.33008145845483
496.7161681549408 1396.7212795429327
207.01316108892166 1518.1721558056768
1005.0790931360589 1310.7669153206032
890.2586981666204 1214.91835405393
1495.6911353324344 1001.5410786465791
1113.2769903188128 99.57033603022244
1104.6783299681285 91.34265128121389
1287.9225954025712 195.89674306044725
1308.7996469397112 199.50222374634436
1405.2506625080507 803.778732986741
898.223291098619 1209.6962073740215
1008.5163708764743 1298.6769959376493
185.9499987233448 1500.7862000536902
901.700689757545 1192.4985359114162
1108.3584741487728 88.35307824076347
1505.7886240454877 988.836927776706
1514.0405355707355 1003.8200103803457
1097.565550018619 123.4654176178613
1102.4519441812595 103.34669000666341
92.85048686046912 502.46585092898033
1314.679646001968 195.50788971958923
1005.6285396835285 1301.817638502591
193.2566423995502 1509.0475388085276
83.35414799079354 498.8195448512122
1296.3367759217463 190.66577958373728
183.7241346372213 1488.3567337112825
